Team,Goal_From,Goal_Against,Goal_Diff,Home_Lose,Away_Lose,Total_Lose,Home_Draw,Away_Draw,Total_Draw,Home_Win,Away_Win,Total_Win,Points,Season
Man City,102,37,65,1,5,6,1,4,5,17,10,27,86,2014
Liverpool,101,50,51,2,4,6,1,5,6,16,10,26,84,2014
Chelsea,71,27,44,1,5,6,3,4,7,15,10,25,82,2014
Arsenal,68,41,27,1,6,7,5,2,7,13,11,24,79,2014
Everton,61,39,22,3,5,8,3,6,9,13,8,21,72,2014
Tottenham,55,51,4,5,6,11,3,3,6,11,10,21,69,2014
Man United,64,43,21,7,5,12,3,4,7,9,10,19,64,2014
Southampton,54,46,8,5,7,12,6,5,11,8,7,15,56,2014
Stoke,45,52,-7,3,11,14,6,5,11,10,3,13,50,2014
Newcastle,43,59,-16,8,11,19,3,1,4,8,7,15,49,2014
Crystal Palace,33,48,-15,8,11,19,3,3,6,8,5,13,45,2014
Swansea,54,54,0,8,10,18,5,4,9,6,5,11,42,2014
West Ham,40,51,-11,9,11,20,3,4,7,7,4,11,40,2014
Sunderland,41,60,-19,11,9,20,3,5,8,5,5,10,38,2014
Aston Villa,39,61,-22,10,10,20,3,5,8,6,4,10,38,2014
Hull,38,53,-15,8,13,21,4,3,7,7,3,10,37,2014
West Brom,43,59,-16,6,10,16,9,6,15,4,3,7,36,2014
Norwich,28,62,-34,7,14,21,6,3,9,6,2,8,33,2014
Fulham,40,85,-45,11,13,24,3,2,5,5,4,9,32,2014
Cardiff,32,74,-42,9,13,22,5,4,9,5,2,7,30,2014
