ID,URL,Notice Type,Publication Date,Project ID,Bid Description,Procurement Type,Deadline Date,Country Code,Country Name,Major Sector
63137,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063137'},General Procurement Notice,2018-12-16T00:00:00,P167000,,,,EG,"Egypt, Arab Republic of",
63122,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063122'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for North East region: Province Baghlan (            Puli-e-Khumri 69 CDCs and Baghlan-e-Jadid 166 CDCs) Total CDCs 235,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63128,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063128'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for Central Region: Wardak (Maydan Shahr 36 CDCs)            Logar (Khoshi 54 and Pol-i-Alam 165 CDCs) Total CDCs 255,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63129,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063129'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for South West region: Province Zabul (Qalat 137            CDCs) Province Uruzgan (Tarin Kowt 141 CDCs) Total CDCs 278,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63135,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063135'},Contract Award,2018-12-16T00:00:00,P163857,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,Somalia,"Sub-National Government, Rural and Inter-Urban Roads, Social Protection"
63131,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063131'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for South West region: Helmand province            (Nawa-e-barakzai 153 CDCs) and lashkargah 113 CDCs) Total CDCs 266,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63141,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063141'},Contract Award,2018-12-16T00:00:00,P130548,Consultancy Services for Social Assessment and Resettlement            Action Plan for Appraisal Projects in Greater Kandy and Greater Galle area,,,LK,Sri Lanka,"Sub-National Government, Other Water Supply, Sanitation and Waste Management, Urban Transport"
63113,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063113'},Contract Award,2018-12-16T00:00:00,P124015,Fourniture de matériel informatique et de sécurité incendie,,,BF,Burkina Faso,"Public Administration - Social Protection, Social Protection"
63127,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063127'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for North East region: Province Takhar (Baharak            77 CDCs and Taluqan 231 CDCs) Total CDCs 308,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63117,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063117'},Contract Award,2018-12-16T00:00:00,P129156,supply of range and pasture seeds,,,,Sudan,"Public Administration - Agriculture, Fishing & Forestry, Other Water Supply, Sanitation and Waste Management, Forestry"
63118,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063118'},Contract Award,2018-12-16T00:00:00,P129156,supply of range and pasture seeds,,,,Sudan,"Public Administration - Agriculture, Fishing & Forestry, Other Water Supply, Sanitation and Waste Management, Forestry"
63119,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063119'},Contract Award,2018-12-16T00:00:00,P129156,supply of range and pasture seeds,,,,Sudan,"Public Administration - Agriculture, Fishing & Forestry, Other Water Supply, Sanitation and Waste Management, Forestry"
63134,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063134'},Contract Award,2018-12-16T00:00:00,P163857,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,,Somalia,"Sub-National Government, Rural and Inter-Urban Roads, Social Protection"
63139,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063139'},Contract Award,2018-12-16T00:00:00,P103499,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,NG,Nigeria,"Sub-National Government, Workforce Development and Vocational Education, Public Administration - Industry, Trade and Services, Other Information and Communications Technologies, Other Industry, Trade and Services"
63132,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063132'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for South West region: Province Nimroz (Zaranj            125 CDCs) and (Chahar Burjak 41 CDCs) Total CDCs 166,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63133,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063133'},Contract Award,2018-12-16T00:00:00,P159655,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,AF,Afghanistan,Central Government (Central Agencies)
63123,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063123'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for North East region: Province Badakhshan            (Darayim 80 CDCs and Fayazbad 116 CDCs) Total CDCs 196,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63124,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063124'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for East region: Province Konar (Asad Abad 37            CDCs and Narang wa badil 43 CDCs) Province Nuristan (patun 39 and Wama 41 CDCs) Total            CDCs 160,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63126,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063126'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for West region: Province Ghor (Chakharan 235            CDCs) Total CDCs 235,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63130,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063130'},Request for Expression of Interest,2018-12-16T00:00:00,P164443,Hiring of FP for East region: province Laghman (Mihtarlam 154            CDCs and Qarghayi 108 CDCs) Total CDCs 262,Consultants,2019-01-01T00:00:00,AF,Afghanistan,
63138,{'url': 'http://projects.worldbank.org/procurement/noticeoverview?id=OP00063138'},Contract Award,2018-12-16T00:00:00,P103499,"Small Contracts Award (DIR,CQS,INDV,SSS)",,,NG,Nigeria,"Sub-National Government, Workforce Development and Vocational Education, Public Administration - Industry, Trade and Services, Other Information and Communications Technologies, Other Industry, Trade and Services"
